INFO buildroot.py:667:  Mock Version: 6.6
DEBUG util.py:556:  Executing command: ['/usr/bin/dnf-3', '--releasever', '10', '--setopt=deltarpm=False', '--setopt=allow_vendor_change=yes', '--allowerasing', '--disableplugin=local', '--disableplugin=spacewalk', '--disableplugin=versionlock', 'install', 'python3-dnf', 'python3-dnf-plugins-core', '--setopt=tsflags=nocontexts'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/var/lib/mock/rocky-10-aarch64-bootstrap/root/installation-homedir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'C.UTF-8', 'LC_MESSAGES': 'C.UTF-8'} and shell False
DEBUG util.py:459:  No matches found for the following disable plugin patterns: local, spacewalk, versionlock
DEBUG util.py:461:  Rocky Linux 10 - BaseOS                                                                                        19 MB/s |  20 MB     00:01    
DEBUG util.py:461:  Rocky Linux 10 - AppStream                                                                                    3.4 MB/s | 2.2 MB     00:00    
DEBUG util.py:461:  Rocky Linux 10 - CRB                                                                                          786 kB/s | 503 kB     00:00    
DEBUG util.py:461:  Rocky Linux 10 - Extras                                                                                        18 kB/s | 6.4 kB     00:00    
DEBUG util.py:461:  Package python3-dnf-4.20.0-18.el10.rocky.0.1.noarch is already installed.
DEBUG util.py:461:  Dependencies resolved.
DEBUG util.py:461:  ==============================================================================================================================================
DEBUG util.py:461:   Package                                    Architecture              Version                                  Repository                Size
DEBUG util.py:461:  ==============================================================================================================================================
DEBUG util.py:461:  Installing:
DEBUG util.py:461:   python3-dnf-plugins-core                   noarch                    4.7.0-9.el10                             baseos                   315 k
DEBUG util.py:461:  Installing dependencies:
DEBUG util.py:461:   dbus-libs                                  aarch64                   1:1.14.10-5.el10                         baseos                   154 k
DEBUG util.py:461:   python3-dateutil                           noarch                    1:2.9.0.post0-1.el10_0                   baseos                   341 k
DEBUG util.py:461:   python3-dbus                               aarch64                   1.3.2-8.el10                             baseos                   159 k
DEBUG util.py:461:   python3-six                                noarch                    1.16.0-16.el10                           baseos                    41 k
DEBUG util.py:461:   python3-systemd                            aarch64                   235-11.el10                              baseos                   108 k
DEBUG util.py:461:  Transaction Summary
